Image_Array,Label
[0.         0.         0.         ... 0.05882353 0.05882353 0.05882353],0
[0.24705882 0.24705882 0.24705882 ... 0.05882353 0.05882353 0.05882353],0
[0.05098039 0.05098039 0.05098039 ... 0.         0.         0.        ],0
[0.79607844 0.79607844 0.79607844 ... 0.02745098 0.02745098 0.02745098],0
[0.18431373 0.18431373 0.18431373 ... 0.         0.         0.        ],0
[0.33333334 0.33333334 0.33333334 ... 0.         0.         0.        ],0
[0.26666668 0.26666668 0.26666668 ... 0.04705882 0.04705882 0.04705882],0
[0.8235294 0.8235294 0.8235294 ... 0.        0.        0.       ],0
[0.24313726 0.24313726 0.24313726 ... 0.13725491 0.13725491 0.13725491],0
[0.14509805 0.14509805 0.14509805 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.26666668 0.26666668 0.26666668 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0. 0. 0. ... 0. 0. 0.],0
[0.16078432 0.16078432 0.16078432 ... 0.02745098 0.02745098 0.02745098],0
[0. 0. 0. ... 0. 0. 0.],0
[0.28235295 0.28235295 0.28235295 ... 0.4        0.4        0.4       ],0
[0.14117648 0.14117648 0.14117648 ... 0.         0.         0.        ],0
[0.94509804 0.94509804 0.94509804 ... 0.10980392 0.10980392 0.10980392],0
[0.05098039 0.05098039 0.05098039 ... 0.         0.         0.        ],0
[0.17254902 0.17254902 0.17254902 ... 0.1254902  0.1254902  0.1254902 ],0
[0.21568628 0.21568628 0.21568628 ... 0.00784314 0.00784314 0.00784314],0
[0.1254902 0.1254902 0.1254902 ... 0.        0.        0.       ],0
[0. 0. 0. ... 0. 0. 0.],0
[0. 0. 0. ... 0. 0. 0.],0
[0.16078432 0.16078432 0.16078432 ... 0.         0.         0.        ],0
[1. 1. 1. ... 0. 0. 0.],0
[0.18431373 0.18431373 0.18431373 ... 0.06666667 0.06666667 0.06666667],0
[0.2901961  0.2901961  0.2901961  ... 0.11372549 0.11372549 0.11372549],0
[0.99607843 0.99607843 0.99607843 ... 0.         0.         0.        ],0
[0.6666667  0.6666667  0.6666667  ... 0.07843138 0.07843138 0.07843138],0
[0.6039216  0.6039216  0.6039216  ... 0.00392157 0.00392157 0.00392157],0
[0.3882353 0.3882353 0.3882353 ... 0.        0.        0.       ],0
[0.02745098 0.02745098 0.02745098 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.11764706 0.11764706 0.11764706 ... 0.03137255 0.03137255 0.03137255],0
[0.21960784 0.21960784 0.21960784 ... 0.03921569 0.03921569 0.03921569],0
[0. 0. 0. ... 0. 0. 0.],0
[0.23529412 0.23529412 0.23529412 ... 0.06666667 0.06666667 0.06666667],0
[0.03529412 0.03529412 0.03529412 ... 0.         0.         0.        ],0
[0.00392157 0.00392157 0.00392157 ... 0.         0.         0.        ],0
[0.27450982 0.27450982 0.27450982 ... 0.01960784 0.01960784 0.01960784],0
[0.45882353 0.45882353 0.45882353 ... 0.         0.         0.        ],0
[0.29411766 0.29411766 0.29411766 ... 0.         0.         0.        ],0
[0.38039216 0.38039216 0.38039216 ... 0.02352941 0.02352941 0.02352941],0
[0.         0.         0.         ... 0.01176471 0.01176471 0.01176471],0
[0. 0. 0. ... 0. 0. 0.],0
[0. 0. 0. ... 0. 0. 0.],0
[0.         0.         0.         ... 0.39215687 0.39215687 0.39215687],0
[0.21176471 0.21176471 0.21176471 ... 0.         0.         0.        ],0
[0.38431373 0.38431373 0.38431373 ... 0.         0.         0.        ],0
[0.37254903 0.37254903 0.37254903 ... 0.         0.         0.        ],0
[0.1254902  0.1254902  0.1254902  ... 0.02745098 0.02745098 0.02745098],0
[0.32156864 0.32156864 0.32156864 ... 0.1764706  0.1764706  0.1764706 ],0
[0.04313726 0.04313726 0.04313726 ... 0.         0.         0.        ],0
[0.09019608 0.09019608 0.09019608 ... 0.09411765 0.09411765 0.09411765],0
[0.46666667 0.46666667 0.46666667 ... 0.         0.         0.        ],0
[0.21176471 0.21176471 0.21176471 ... 0.         0.         0.        ],0
[0.16078432 0.16078432 0.16078432 ... 0.         0.         0.        ],0
[0.13725491 0.13725491 0.13725491 ... 0.         0.         0.        ],0
[0.7137255 0.7137255 0.7137255 ... 0.5411765 0.5411765 0.5411765],0
[0.4117647 0.4117647 0.4117647 ... 0.        0.        0.       ],0
[0.24313726 0.24313726 0.24313726 ... 0.         0.         0.        ],0
[0.14509805 0.14509805 0.14509805 ... 0.00392157 0.00392157 0.00392157],0
[0. 0. 0. ... 0. 0. 0.],0
[0.03529412 0.03529412 0.03529412 ... 0.         0.         0.        ],0
[0.43137255 0.43137255 0.43137255 ... 0.         0.         0.        ],0
[0.26666668 0.26666668 0.26666668 ... 0.05882353 0.05882353 0.05882353],0
[0.57254905 0.57254905 0.57254905 ... 0.         0.         0.        ],0
[0.99215686 0.99215686 0.99215686 ... 0.         0.         0.        ],0
[0.18039216 0.18039216 0.18039216 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.01568628 0.01568628 0.01568628 ... 0.         0.         0.        ],0
[0.47058824 0.47058824 0.47058824 ... 0.         0.         0.        ],0
[0.21960784 0.21960784 0.21960784 ... 0.         0.         0.        ],0
[0.60784316 0.60784316 0.60784316 ... 0.         0.         0.        ],0
[0.5176471 0.5176471 0.5176471 ... 0.        0.        0.       ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.24313726 0.24313726 0.24313726 ... 0.         0.         0.        ],0
[0.38039216 0.38039216 0.38039216 ... 0.11372549 0.11372549 0.11372549],0
[0.99215686 0.99215686 0.99215686 ... 1.         1.         1.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0. 0. 0. ... 0. 0. 0.],0
[1. 1. 1. ... 0. 0. 0.],0
[0.19215687 0.19215687 0.19215687 ... 0.         0.         0.        ],0
[0.2509804  0.2509804  0.2509804  ... 0.00392157 0.00392157 0.00392157],0
[0.03529412 0.03529412 0.03529412 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.23921569 0.23921569 0.23921569 ... 0.         0.         0.        ],0
[0.3137255  0.3137255  0.3137255  ... 0.01176471 0.01176471 0.01176471],0
[0. 0. 0. ... 0. 0. 0.],0
[0.21176471 0.21176471 0.21176471 ... 0.         0.         0.        ],0
[0.04313726 0.04313726 0.04313726 ... 0.         0.         0.        ],0
[0.54509807 0.54509807 0.54509807 ... 0.         0.         0.        ],0
[0.05490196 0.05490196 0.05490196 ... 0.         0.         0.        ],0
[0.44313726 0.44313726 0.44313726 ... 0.29803923 0.29803923 0.29803923],0
[0. 0. 0. ... 0. 0. 0.],0
[0.11764706 0.11764706 0.11764706 ... 0.         0.         0.        ],0
[0.40784314 0.40784314 0.40784314 ... 0.         0.         0.        ],0
[0.13725491 0.13725491 0.13725491 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.20392157 0.20392157 0.20392157 ... 0.         0.         0.        ],0
[0.02745098 0.02745098 0.02745098 ... 0.         0.         0.        ],0
[0.2509804 0.2509804 0.2509804 ... 0.        0.        0.       ],0
[0.18431373 0.18431373 0.18431373 ... 0.         0.         0.        ],0
[0.21960784 0.21960784 0.21960784 ... 0.         0.         0.        ],0
[0.09411765 0.09411765 0.09411765 ... 0.         0.         0.        ],0
[0.         0.         0.         ... 0.04705882 0.04705882 0.04705882],0
[0.04313726 0.04313726 0.04313726 ... 0.         0.         0.        ],0
[0.8039216  0.8039216  0.8039216  ... 0.01568628 0.01568628 0.01568628],0
[0.30980393 0.30980393 0.30980393 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0. 0. 0. ... 0. 0. 0.],0
[0. 0. 0. ... 0. 0. 0.],0
[0.         0.         0.         ... 0.01960784 0.01960784 0.01960784],0
[0.16470589 0.16470589 0.16470589 ... 0.         0.         0.        ],0
[0.07450981 0.07450981 0.07450981 ... 0.         0.         0.        ],0
[0.24313726 0.24313726 0.24313726 ... 0.         0.         0.        ],0
[0.36078432 0.36078432 0.36078432 ... 0.11764706 0.11764706 0.11764706],0
[0.5764706 0.5764706 0.5764706 ... 0.        0.        0.       ],0
[1. 1. 1. ... 0. 0. 0.],0
[0.01960784 0.01960784 0.01960784 ... 0.         0.         0.        ],0
[0.00784314 0.00784314 0.00784314 ... 0.         0.         0.        ],0
[0.16470589 0.16470589 0.16470589 ... 0.         0.         0.        ],0
[0.0627451 0.0627451 0.0627451 ... 0.        0.        0.       ],0
[0. 0. 0. ... 0. 0. 0.],0
[0. 0. 0. ... 0. 0. 0.],0
[0. 0. 0. ... 0. 0. 0.],0
[0.03529412 0.03529412 0.03529412 ... 0.         0.         0.        ],0
[0.15294118 0.15294118 0.15294118 ... 0.07058824 0.07058824 0.07058824],0
[0.12156863 0.12156863 0.12156863 ... 0.         0.         0.        ],0
[0.05490196 0.05490196 0.05490196 ... 0.         0.         0.        ],0
[0.14509805 0.14509805 0.14509805 ... 0.         0.         0.        ],0
[0.10196079 0.10196079 0.10196079 ... 0.         0.         0.        ],0
[0.12941177 0.12941177 0.12941177 ... 0.         0.         0.        ],0
[0.04705882 0.04705882 0.04705882 ... 0.         0.         0.        ],0
[0.8666667 0.8666667 0.8666667 ... 0.        0.        0.       ],0
[0.23529412 0.23529412 0.23529412 ... 0.         0.         0.        ],0
[0.08627451 0.08627451 0.08627451 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.40784314 0.40784314 0.40784314 ... 0.95686275 0.95686275 0.95686275],0
[0.20784314 0.20784314 0.20784314 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.16470589 0.16470589 0.16470589 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.4392157 0.4392157 0.4392157 ... 0.        0.        0.       ],0
[0.1764706  0.1764706  0.1764706  ... 0.07843138 0.07843138 0.07843138],0
[0. 0. 0. ... 0. 0. 0.],0
[0.27058825 0.27058825 0.27058825 ... 0.         0.         0.        ],0
[0.2901961 0.2901961 0.2901961 ... 0.        0.        0.       ],0
[0.18039216 0.18039216 0.18039216 ... 0.0627451  0.0627451  0.0627451 ],0
[0.2627451  0.2627451  0.2627451  ... 0.00784314 0.00784314 0.00784314],0
[0.02745098 0.02745098 0.02745098 ... 0.00784314 0.00784314 0.00784314],0
[0.3254902 0.3254902 0.3254902 ... 0.        0.        0.       ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.28235295 0.28235295 0.28235295 ... 0.         0.         0.        ],0
[0.38039216 0.38039216 0.38039216 ... 0.         0.         0.        ],0
[0.02745098 0.02745098 0.02745098 ... 0.         0.         0.        ],0
[0.18039216 0.18039216 0.18039216 ... 0.         0.         0.        ],0
[0.04705882 0.04705882 0.04705882 ... 0.         0.         0.        ],0
[0.15294118 0.15294118 0.15294118 ... 0.         0.         0.        ],0
[0.34509805 0.34509805 0.34509805 ... 0.         0.         0.        ],0
[0.43137255 0.43137255 0.43137255 ... 0.         0.         0.        ],0
[0.4117647 0.4117647 0.4117647 ... 0.        0.        0.       ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.16470589 0.16470589 0.16470589 ... 0.         0.         0.        ],0
[0.7882353 0.7882353 0.7882353 ... 0.        0.        0.       ],0
[0.02352941 0.02352941 0.02352941 ... 0.         0.         0.        ],0
[0.02745098 0.02745098 0.02745098 ... 0.         0.         0.        ],0
[0.36078432 0.36078432 0.36078432 ... 0.         0.         0.        ],0
[0.16470589 0.16470589 0.16470589 ... 0.22745098 0.22745098 0.22745098],0
[0.6117647 0.6117647 0.6117647 ... 0.        0.        0.       ],0
[0. 0. 0. ... 0. 0. 0.],0
[0. 0. 0. ... 0. 0. 0.],0
[0. 0. 0. ... 0. 0. 0.],0
[0. 0. 0. ... 0. 0. 0.],0
[0. 0. 0. ... 0. 0. 0.],0
[0.36862746 0.36862746 0.36862746 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.22352941 0.22352941 0.22352941 ... 0.         0.         0.        ],0
[0.20784314 0.20784314 0.20784314 ... 0.         0.         0.        ],0
[0.0627451 0.0627451 0.0627451 ... 0.        0.        0.       ],0
[0.6117647 0.6117647 0.6117647 ... 0.        0.        0.       ],0
[0.14509805 0.14509805 0.14509805 ... 0.         0.         0.        ],0
[0.02352941 0.02352941 0.02352941 ... 0.         0.         0.        ],0
[0.03529412 0.03529412 0.03529412 ... 0.         0.         0.        ],0
[0.2784314 0.2784314 0.2784314 ... 0.        0.        0.       ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.1764706 0.1764706 0.1764706 ... 0.        0.        0.       ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.09803922 0.09803922 0.09803922 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.88235295 0.88235295 0.88235295 ... 0.         0.         0.        ],0
[0.03921569 0.03921569 0.03921569 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.13333334 0.13333334 0.13333334 ... 0.         0.         0.        ],0
[0.22745098 0.22745098 0.22745098 ... 0.         0.         0.        ],0
[0.10980392 0.10980392 0.10980392 ... 0.         0.         0.        ],0
[0.20392157 0.20392157 0.20392157 ... 0.         0.         0.        ],0
[0.19607843 0.19607843 0.19607843 ... 0.         0.         0.        ],0
[0.21176471 0.21176471 0.21176471 ... 0.         0.         0.        ],0
[0.03137255 0.03137255 0.03137255 ... 0.         0.         0.        ],0
[0.39607844 0.39607844 0.39607844 ... 0.         0.         0.        ],0
[0.39607844 0.39607844 0.39607844 ... 0.13725491 0.13725491 0.13725491],0
[0.15686275 0.15686275 0.15686275 ... 0.         0.         0.        ],0
[0.13725491 0.13725491 0.13725491 ... 0.         0.         0.        ],0
[0.14509805 0.14509805 0.14509805 ... 0.         0.         0.        ],0
[0.03921569 0.03921569 0.03921569 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.27450982 0.27450982 0.27450982 ... 0.         0.         0.        ],0
[0.         0.         0.         ... 0.36078432 0.36078432 0.36078432],0
[0.39215687 0.39215687 0.39215687 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0. 0. 0. ... 0. 0. 0.],0
[0.09803922 0.09803922 0.09803922 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.9647059 0.9647059 0.9647059 ... 0.        0.        0.       ],0
[0.30980393 0.30980393 0.30980393 ... 0.         0.         0.        ],0
[0.08627451 0.08627451 0.08627451 ... 0.02352941 0.02352941 0.02352941],0
[0.1254902 0.1254902 0.1254902 ... 0.        0.        0.       ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.36078432 0.36078432 0.36078432 ... 0.         0.         0.        ],0
[0.14509805 0.14509805 0.14509805 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.29803923 0.29803923 0.29803923 ... 0.         0.         0.        ],0
[0.3647059 0.3647059 0.3647059 ... 0.        0.        0.       ],0
[0.2627451 0.2627451 0.2627451 ... 0.        0.        0.       ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.15294118 0.15294118 0.15294118 ... 0.         0.         0.        ],0
[0.49411765 0.49411765 0.49411765 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.05490196 0.05490196 0.05490196 ... 0.         0.         0.        ],0
[0.32941177 0.32941177 0.32941177 ... 0.         0.         0.        ],0
[0.08627451 0.08627451 0.08627451 ... 0.         0.         0.        ],0
[0.16862746 0.16862746 0.16862746 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.25490198 0.25490198 0.25490198 ... 0.00784314 0.00784314 0.00784314],0
[0. 0. 0. ... 0. 0. 0.],0
[0.30980393 0.30980393 0.30980393 ... 0.         0.         0.        ],0
[0.03137255 0.03137255 0.03137255 ... 0.         0.         0.        ],0
[0.0627451 0.0627451 0.0627451 ... 0.        0.        0.       ],0
[0.43137255 0.43137255 0.43137255 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.29803923 0.29803923 0.29803923 ... 0.         0.         0.        ],0
[0.08627451 0.08627451 0.08627451 ... 0.         0.         0.        ],0
[0.18039216 0.18039216 0.18039216 ... 0.         0.         0.        ],0
[0.48235294 0.48235294 0.48235294 ... 0.         0.         0.        ],0
[0.30588236 0.30588236 0.30588236 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.11372549 0.11372549 0.11372549 ... 0.16078432 0.16078432 0.16078432],0
[0.07058824 0.07058824 0.07058824 ... 0.         0.         0.        ],0
[0.01568628 0.01568628 0.01568628 ... 0.09803922 0.09803922 0.09803922],0
[0. 0. 0. ... 0. 0. 0.],0
[0.2 0.2 0.2 ... 0.  0.  0. ],0
[0.27058825 0.27058825 0.27058825 ... 0.         0.         0.        ],0
[0.22352941 0.22352941 0.22352941 ... 0.         0.         0.        ],0
[0.39215687 0.39215687 0.39215687 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.00784314 0.00784314 0.00784314 ... 0.         0.         0.        ],0
[0.27058825 0.27058825 0.27058825 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.22745098 0.22745098 0.22745098 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
